date_,adj close_cholahldng.ns,close_cholahldng.ns,high_cholahldng.ns,low_cholahldng.ns,open_cholahldng.ns,volume_cholahldng.ns
2024-01-16,1020.1839599609375,1021.25,1024.949951171875,1013.0,1024.949951171875,101838
2024-01-17,1018.1361083984375,1019.2000122070312,1037.0,1012.0,1021.2999877929688,77987
2024-01-18,1016.2380981445312,1017.2999877929688,1030.699951171875,1005.2000122070312,1018.2000122070312,54316
2024-01-19,1028.77490234375,1029.8499755859375,1043.949951171875,1019.0,1029.0,98919
2024-01-23,1038.015380859375,1039.0999755859375,1050.0,1016.0,1033.949951171875,171536
2024-01-24,1084.466796875,1085.5999755859375,1097.800048828125,1020.0,1030.5,374942
2024-01-25,1100.3502197265625,1101.5,1110.949951171875,1080.050048828125,1092.0,519335
2024-01-29,1136.012939453125,1137.199951171875,1149.800048828125,1105.0,1115.0,535052
2024-01-30,1160.787109375,1162.0,1175.75,1140.949951171875,1140.949951171875,566389
2024-01-31,1178.5185546875,1179.75,1190.699951171875,1165.0,1165.0,846954
2024-02-01,1173.5238037109375,1174.75,1186.4000244140625,1152.050048828125,1176.0,199522
2024-02-02,1141.90673828125,1143.0999755859375,1184.699951171875,1102.0,1174.75,577962
2024-02-05,1150.148193359375,1151.3499755859375,1178.050048828125,1131.0,1147.0,286502
2024-02-06,1156.8411865234375,1158.050048828125,1175.0,1141.25,1169.0,306405
2024-02-07,1154.0941162109375,1155.300048828125,1183.949951171875,1135.550048828125,1171.5999755859375,121612
2024-02-08,1146.252197265625,1147.449951171875,1171.300048828125,1120.1500244140625,1153.699951171875,150212
2024-02-09,1121.4281005859375,1122.5999755859375,1166.0,1095.3499755859375,1130.0999755859375,71365
2024-02-12,1133.01611328125,1134.199951171875,1141.4000244140625,1085.0,1136.25,111681
2024-02-13,1112.537353515625,1113.699951171875,1135.199951171875,1090.0999755859375,1134.199951171875,70404
2024-02-14,1099.2012939453125,1100.3499755859375,1113.699951171875,1095.0,1110.0,95947
2024-02-15,1087.5634765625,1088.699951171875,1113.25,1074.0,1100.5,49522
2024-02-16,1074.2274169921875,1075.3499755859375,1100.3499755859375,1063.0,1090.0999755859375,73423
2024-02-19,1078.82275390625,1079.949951171875,1085.0,1065.050048828125,1070.0,176549
2024-02-20,1054.29833984375,1055.4000244140625,1086.0,1050.0,1086.0,243984
2024-02-21,1041.811279296875,1042.9000244140625,1060.050048828125,1032.050048828125,1059.9000244140625,345890
2024-02-22,1044.6083984375,1045.699951171875,1063.75,1036.199951171875,1054.9000244140625,159221
2024-02-23,1044.10888671875,1045.199951171875,1056.6500244140625,1030.0,1055.0,64740
2024-02-26,1086.814208984375,1087.949951171875,1096.0,1033.550048828125,1057.9000244140625,374874
2024-02-27,1078.922607421875,1080.050048828125,1102.5999755859375,1060.0,1092.0,85714
2024-02-28,1054.9476318359375,1056.050048828125,1095.949951171875,1050.3499755859375,1086.300048828125,289093
2024-02-29,1050.7021484375,1051.800048828125,1070.0,1031.050048828125,1057.0,113256
2024-03-01,1075.82568359375,1076.949951171875,1086.800048828125,1048.0,1064.050048828125,33866
2024-03-04,1068.4835205078125,1069.5999755859375,1084.1500244140625,1063.0,1070.0,54929
2024-03-05,1037.865478515625,1038.949951171875,1075.75,1033.5999755859375,1071.949951171875,131633
