date_,adj close_petronet.ns,close_petronet.ns,high_petronet.ns,low_petronet.ns,open_petronet.ns,volume_petronet.ns
2024-01-16,221.78651428222656,236.60000610351562,239.64999389648438,230.6999969482422,232.0,7339467
2024-01-17,218.1775665283203,232.75,237.5,231.8000030517578,235.0,3358501
2024-01-18,225.16110229492188,240.1999969482422,240.8000030517578,228.0500030517578,232.0,6552050
2024-01-19,228.3950958251953,243.64999389648438,245.0,240.10000610351562,242.10000610351562,6580647
2024-01-23,243.62770080566406,259.8999938964844,266.29998779296875,253.75,260.0,31980576
2024-01-24,244.00262451171875,260.29998779296875,263.75,254.10000610351562,261.75,10188898
2024-01-25,240.53431701660156,256.6000061035156,262.75,255.5,260.29998779296875,6781388
2024-01-29,246.48672485351562,262.95001220703125,266.29998779296875,257.6000061035156,259.0,15532941
2024-01-30,250.79873657226562,267.54998779296875,284.54998779296875,264.3500061035156,266.8999938964844,36116964
2024-01-31,252.25167846679688,269.1000061035156,270.6499938964844,263.54998779296875,268.5,7429307
2024-02-01,249.06459045410156,265.70001220703125,270.0,260.8999938964844,270.0,10182665
2024-02-02,252.5797882080078,269.45001220703125,272.3999938964844,266.54998779296875,268.3999938964844,6962922
2024-02-05,256.235595703125,273.3500061035156,279.3999938964844,268.3500061035156,271.79998779296875,12231784
2024-02-06,272.2181091308594,290.3999938964844,296.45001220703125,274.54998779296875,276.95001220703125,31744882
2024-02-07,265.1876525878906,282.8999938964844,291.95001220703125,281.04998779296875,291.95001220703125,10396689
2024-02-08,260.8288269042969,278.25,285.70001220703125,277.20001220703125,285.6000061035156,5354700
2024-02-09,253.23593139648438,270.1499938964844,281.0,264.75,280.45001220703125,9701673
2024-02-12,240.90927124023438,257.0,272.3999938964844,255.60000610351562,272.3999938964844,7857731
2024-02-13,249.34576416015625,266.0,268.04998779296875,255.75,257.8999938964844,7246483
2024-02-14,255.11073303222656,272.1499938964844,272.95001220703125,261.8999938964844,264.54998779296875,5272796
2024-02-15,259.7976379394531,277.1499938964844,284.0,271.1000061035156,273.79998779296875,8991058
2024-02-16,260.547607421875,277.95001220703125,282.5,277.0,279.8999938964844,6096080
2024-02-19,265.0470886230469,282.75,285.95001220703125,276.1000061035156,279.04998779296875,6286579
2024-02-20,263.6409606933594,281.25,284.6000061035156,278.6000061035156,283.70001220703125,4877148
2024-02-21,263.1254577636719,280.70001220703125,284.95001220703125,279.5,283.25,5473156
2024-02-22,266.21881103515625,284.0,285.95001220703125,277.1499938964844,280.0,3793051
2024-02-23,266.875,284.70001220703125,287.70001220703125,281.20001220703125,283.95001220703125,4293379
2024-02-26,268.4216613769531,286.3500061035156,289.0,283.29998779296875,284.6499938964844,4441238
2024-02-27,263.7347412109375,281.3500061035156,287.45001220703125,278.1000061035156,286.70001220703125,2780837
2024-02-28,256.5636901855469,273.70001220703125,286.04998779296875,272.5,280.5,5283852
2024-02-29,256.329345703125,273.45001220703125,275.3500061035156,270.6499938964844,273.6000061035156,12004742
2024-03-01,265.0002136230469,282.70001220703125,284.04998779296875,273.45001220703125,273.45001220703125,4960901
2024-03-04,272.968017578125,291.20001220703125,292.3999938964844,282.0,282.0,7600375
2024-03-05,272.874267578125,291.1000061035156,294.0,286.95001220703125,294.0,6054621
2024-03-06,267.8123474121094,285.70001220703125,292.79998779296875,280.29998779296875,290.8999938964844,5010918
2024-03-07,264.01593017578125,281.6499938964844,288.29998779296875,281.0,284.20001220703125,2703291
2024-03-11,262.18804931640625,279.70001220703125,283.29998779296875,275.29998779296875,281.29998779296875,4479337
2024-03-12,258.3915710449219,275.6499938964844,281.20001220703125,274.6499938964844,279.70001220703125,2721780
2024-03-13,247.2366485595703,263.75,278.25,262.3999938964844,275.6499938964844,5197790
2024-03-14,249.95506286621094,266.6499938964844,269.0,261.0,263.6499938964844,5600085
2024-03-15,247.79908752441406,264.3500061035156,269.6000061035156,258.04998779296875,266.1000061035156,6470305
2024-03-18,248.03343200683594,264.6000061035156,266.29998779296875,261.3999938964844,264.79998779296875,2227478
2024-03-19,245.2681121826172,261.6499938964844,265.1499938964844,259.3999938964844,261.54998779296875,4001113
2024-03-20,245.3618621826172,261.75,264.29998779296875,257.70001220703125,263.79998779296875,2359042
2024-03-21,242.45594787597656,258.6499938964844,263.6499938964844,257.3500061035156,261.04998779296875,5192498
2024-03-22,243.11215209960938,259.3500061035156,261.25,256.29998779296875,258.6499938964844,4162593
2024-03-26,248.92391967773438,265.54998779296875,268.79998779296875,257.75,259.3500061035156,8771943
2024-03-27,247.2366485595703,263.75,269.8999938964844,263.04998779296875,266.70001220703125,2943546
2024-03-28,246.7211151123047,263.20001220703125,268.3999938964844,261.04998779296875,264.5,4263056
2024-04-01,248.7833251953125,265.3999938964844,269.04998779296875,262.20001220703125,263.54998779296875,4213590
2024-04-02,255.7200164794922,272.79998779296875,273.5,265.8999938964844,267.3999938964844,4203035
2024-04-03,265.14080810546875,282.8500061035156,287.6499938964844,272.6000061035156,273.5,11248413
2024-04-04,258.4853210449219,275.75,285.8999938964844,273.0,284.04998779296875,5737636
2024-04-05,260.2663879394531,277.6499938964844,278.95001220703125,272.79998779296875,276.79998779296875,3367832
2024-04-08,263.4066467285156,281.0,283.3999938964844,277.20001220703125,278.0,3332596
2024-04-09,270.4839172363281,288.54998779296875,290.20001220703125,280.5,282.8999938964844,6250123
2024-04-10,283.5605163574219,302.5,309.0,288.6499938964844,290.0,33106964
2024-04-12,286.3258361816406,305.45001220703125,315.20001220703125,302.8999938964844,303.0,18908225
2024-04-15,285.9040222167969,305.0,311.8999938964844,295.25,300.29998779296875,11930889
2024-04-16,288.7161865234375,308.0,313.6499938964844,299.5,300.1000061035156,13839298
2024-04-18,283.0918273925781,302.0,318.75,299.5,310.0,11454798
2024-04-19,281.3576354980469,300.1499938964844,304.0,294.3500061035156,297.0,6304046
2024-04-22,279.29541015625,297.95001220703125,305.3500061035156,295.6499938964844,303.04998779296875,6662583
2024-04-23,276.9050598144531,295.3999938964844,300.95001220703125,294.3999938964844,299.3999938964844,6524361
2024-04-24,280.2327880859375,298.95001220703125,302.45001220703125,291.20001220703125,296.0,9963477
2024-04-25,283.6542663574219,302.6000061035156,303.79998779296875,297.79998779296875,299.95001220703125,6376314
2024-04-26,289.3254699707031,308.6499938964844,312.0,303.79998779296875,304.3999938964844,8714390
2024-04-29,285.9040222167969,305.0,312.54998779296875,303.6499938964844,312.0,2883023
2024-04-30,291.10650634765625,310.54998779296875,317.0,305.5,305.95001220703125,13142286
2024-05-02,300.6678771972656,320.75,322.45001220703125,305.8999938964844,310.5,16715887
2024-05-03,294.15301513671875,313.79998779296875,323.1499938964844,310.79998779296875,322.0,8079399
2024-05-06,286.09149169921875,305.20001220703125,316.1000061035156,304.0,316.0,3832450
2024-05-07,278.9204406738281,297.54998779296875,306.29998779296875,295.75,305.54998779296875,5062097
2024-05-08,288.10687255859375,307.3500061035156,309.8999938964844,295.1499938964844,295.1499938964844,6705637
2024-05-09,277.4206237792969,295.95001220703125,309.5,295.0,309.1499938964844,4183494
2024-05-10,280.88897705078125,299.6499938964844,301.3999938964844,293.1499938964844,297.0,3181311
2024-05-13,278.9673156738281,297.6000061035156,299.54998779296875,291.3999938964844,299.3999938964844,3473126
2024-05-14,285.1540832519531,304.20001220703125,305.8999938964844,297.54998779296875,297.6000061035156,4404200
2024-05-15,287.96624755859375,307.20001220703125,309.0,303.1000061035156,306.95001220703125,3196483
2024-05-16,292.6063537597656,312.1499938964844,313.25,306.3500061035156,308.70001220703125,7856295
2024-05-17,292.6531982421875,312.20001220703125,320.20001220703125,310.29998779296875,314.95001220703125,6010813
2024-05-21,289.2785949707031,308.6000061035156,316.20001220703125,307.0,311.5,6925859
2024-05-22,290.3565979003906,309.75,311.1000061035156,303.6000061035156,310.0,6353931
2024-05-23,289.04425048828125,308.3500061035156,312.8999938964844,302.6000061035156,305.0,12420663
2024-05-24,286.2789611816406,305.3999938964844,308.1000061035156,303.70001220703125,307.6000061035156,5198861
2024-05-27,282.85748291015625,301.75,306.1000061035156,298.79998779296875,305.3999938964844,9265411
2024-05-28,277.8424072265625,296.3999938964844,302.5,295.25,302.0,2826843
2024-05-29,278.54547119140625,297.1499938964844,299.8500061035156,294.0,295.1499938964844,3624422
2024-05-30,275.45208740234375,293.8500061035156,299.1000061035156,292.6000061035156,296.95001220703125,3674754
2024-05-31,278.73297119140625,297.3500061035156,298.79998779296875,291.6000061035156,295.70001220703125,9113083
2024-06-03,296.9183044433594,316.75,317.70001220703125,302.25,309.29998779296875,9208116
2024-06-04,260.50067138671875,277.8999938964844,317.0,253.39999389648438,317.0,13035095
2024-06-05,269.7339782714844,287.75,288.95001220703125,271.75,279.0,4907819
2024-06-06,283.4667663574219,302.3999938964844,307.0,291.5,295.0,5621039
2024-06-07,282.3887634277344,301.25,303.0,297.0,297.54998779296875,4019916
2024-06-10,283.7948913574219,302.75,307.1499938964844,301.1499938964844,302.0,2022452
2024-06-11,295.5122375488281,315.25,316.5,304.1499938964844,306.8999938964844,10540526
2024-06-12,300.52728271484375,320.6000061035156,326.0,316.8500061035156,318.0,10484237
2024-06-13,302.8238830566406,323.04998779296875,325.5,319.6499938964844,321.75,3614983
2024-06-14,303.62066650390625,323.8999938964844,327.8500061035156,321.54998779296875,324.0,3762574
2024-06-18,296.6371154785156,316.45001220703125,324.6000061035156,315.6499938964844,324.1000061035156,4334672
2024-06-19,291.24713134765625,310.70001220703125,318.3500061035156,309.1000061035156,318.0,3607945
2024-06-20,294.52801513671875,314.20001220703125,314.8999938964844,307.6499938964844,310.79998779296875,4420665
2024-06-21,300.1991882324219,320.25,323.20001220703125,313.6000061035156,314.95001220703125,7588747
2024-06-24,303.99560546875,324.29998779296875,329.0,317.3500061035156,320.04998779296875,7209192
2024-06-25,298.2775573730469,318.20001220703125,334.04998779296875,317.3500061035156,325.0,9780316
2024-06-26,295.0435485839844,314.75,320.3500061035156,314.0,318.8999938964844,3286287
2024-06-27,299.96484375,320.0,321.8999938964844,315.3999938964844,316.95001220703125,4042564
2024-06-28,309.5731201171875,330.25,333.6000061035156,322.0,322.8999938964844,7685227
2024-07-01,312.9007873535156,333.79998779296875,335.6499938964844,331.20001220703125,333.0,4832518
2024-07-02,315.2442626953125,336.29998779296875,341.0,333.5,334.0,4734046
