date_,adj close_upl.ns,close_upl.ns,high_upl.ns,low_upl.ns,open_upl.ns,volume_upl.ns
2024-01-16,558.4134521484375,564.5,569.2000122070312,560.5,568.0,1653823
2024-01-17,545.0590209960938,551.0,562.5,549.5999755859375,561.0,4724845
2024-01-18,538.3323364257812,544.2000122070312,552.0,539.1500244140625,550.0,3512857
2024-01-19,547.4331665039062,553.4000244140625,557.2000122070312,542.75,549.0,2415540
2024-01-23,529.3304443359375,535.0999755859375,558.4500122070312,533.5499877929688,558.4500122070312,2849229
2024-01-24,539.8656616210938,545.75,547.0,535.0999755859375,539.9000244140625,1386191
2024-01-25,531.5067138671875,537.2999877929688,547.5999755859375,536.0,545.75,1723625
2024-01-29,533.8314208984375,539.6500244140625,542.7000122070312,534.4000244140625,542.2000122070312,2162690
2024-01-30,529.4788818359375,535.25,547.5,534.4000244140625,541.9000244140625,1912294
2024-01-31,531.9024658203125,537.7000122070312,542.75,534.0999755859375,538.9000244140625,3570913
2024-02-01,524.3348999023438,530.0499877929688,539.0,526.5,536.2999877929688,3662000
2024-02-02,527.8961181640625,533.6500244140625,540.6500244140625,529.25,533.9000244140625,4224992
2024-02-05,468.8892517089844,474.0,525.0,470.04998779296875,524.0,23096694
2024-02-06,476.65460205078125,481.8500061035156,486.0,468.29998779296875,476.20001220703125,6661787
2024-02-07,472.64825439453125,477.79998779296875,485.0,477.25,484.0,3069307
2024-02-08,459.8379211425781,464.8500061035156,481.79998779296875,463.54998779296875,480.0,5214678
2024-02-09,453.0123291015625,457.95001220703125,467.8999938964844,453.29998779296875,467.8999938964844,5881661
2024-02-12,453.4574279785156,458.3999938964844,465.79998779296875,455.04998779296875,461.79998779296875,4404671
2024-02-13,473.93426513671875,479.1000061035156,479.95001220703125,452.1499938964844,462.04998779296875,7706461
2024-02-14,476.20947265625,481.3999938964844,482.3999938964844,472.25,479.20001220703125,3210526
2024-02-15,482.0953369140625,487.3500061035156,490.45001220703125,484.70001220703125,486.8999938964844,3568439
2024-02-16,485.6070251464844,490.8999938964844,494.20001220703125,481.04998779296875,484.04998779296875,3374827
2024-02-19,492.1853332519531,497.54998779296875,500.0,491.54998779296875,493.70001220703125,3383768
2024-02-20,492.679931640625,498.04998779296875,505.45001220703125,495.25,497.6000061035156,3033673
2024-02-21,486.8435363769531,492.1499938964844,500.20001220703125,490.95001220703125,499.0,1697299
2024-02-22,486.991943359375,492.29998779296875,494.20001220703125,484.04998779296875,493.29998779296875,2881064
2024-02-23,483.4307861328125,488.70001220703125,496.6000061035156,487.8999938964844,494.0,1341328
2024-02-26,483.8758850097656,489.1499938964844,493.1000061035156,485.75,488.6000061035156,2253561
