date_,adj close_vguard.ns,close_vguard.ns,high_vguard.ns,low_vguard.ns,open_vguard.ns,volume_vguard.ns
2024-01-16,292.0395202636719,294.04998779296875,295.5,290.70001220703125,290.8999938964844,176983
2024-01-17,290.9967041015625,293.0,296.20001220703125,291.0,293.95001220703125,196000
2024-01-18,290.59942626953125,292.6000061035156,295.8999938964844,289.5,293.79998779296875,220141
2024-01-19,289.20904541015625,291.20001220703125,295.0,289.6499938964844,295.0,181883
2024-01-23,286.8750915527344,288.8500061035156,295.79998779296875,285.79998779296875,293.6000061035156,171916
2024-01-24,290.89739990234375,292.8999938964844,294.5,285.8500061035156,288.0,362406
2024-01-25,291.3443298339844,293.3500061035156,297.0,287.3500061035156,296.45001220703125,235015
2024-01-29,288.9607238769531,290.95001220703125,295.6000061035156,290.70001220703125,295.6000061035156,119883
2024-01-30,287.6199645996094,289.6000061035156,292.3999938964844,289.04998779296875,290.5,163541
2024-01-31,290.40081787109375,292.3999938964844,293.0,288.95001220703125,289.6499938964844,203518
2024-02-01,297.10467529296875,299.1499938964844,305.70001220703125,291.04998779296875,293.04998779296875,1854141
2024-02-02,307.93011474609375,310.04998779296875,316.0,297.70001220703125,303.8999938964844,2692855
2024-02-05,312.4986877441406,314.6499938964844,319.79998779296875,313.1000061035156,314.95001220703125,860036
2024-02-06,306.1424560546875,308.25,317.95001220703125,307.0,316.0,719025
2024-02-07,311.95245361328125,314.1000061035156,322.0,309.0,310.3500061035156,1479980
2024-02-08,308.57568359375,310.70001220703125,319.0,309.0,318.04998779296875,354148
2024-02-09,309.2709045410156,311.3999938964844,313.8999938964844,304.1000061035156,312.1000061035156,450911
2024-02-12,304.9009704589844,307.0,315.3999938964844,305.0,314.45001220703125,274810
2024-02-13,305.74517822265625,307.8500061035156,310.8500061035156,302.0,307.25,290728
2024-02-14,307.6322021484375,309.75,314.70001220703125,301.95001220703125,302.0,316761
2024-02-15,314.13739013671875,316.29998779296875,321.8999938964844,309.04998779296875,313.5,1331774
2024-02-16,309.0226135253906,311.1499938964844,320.0,310.0,320.0,466816
2024-02-19,312.20074462890625,314.3500061035156,317.8500061035156,312.3500061035156,312.75,287351
2024-02-20,311.15789794921875,313.29998779296875,323.45001220703125,311.29998779296875,315.0,348832
2024-02-21,310.6116638183594,312.75,320.70001220703125,310.29998779296875,314.8500061035156,951817
2024-02-22,309.71783447265625,311.8500061035156,318.29998779296875,311.0,314.0,254292
2024-02-23,308.8240051269531,310.95001220703125,315.8999938964844,306.45001220703125,312.5,241947
2024-02-26,313.69049072265625,315.8500061035156,317.0,308.79998779296875,310.0,310684
2024-02-27,320.09637451171875,322.29998779296875,326.79998779296875,314.54998779296875,317.29998779296875,1187174
2024-02-28,327.79339599609375,330.04998779296875,344.3999938964844,324.5,325.6499938964844,7608365
2024-02-29,322.728271484375,324.95001220703125,333.75,321.45001220703125,333.0,1422194
2024-03-01,335.5400695800781,337.8500061035156,343.0,324.20001220703125,326.25,1283856
2024-03-04,345.62066650390625,348.0,350.3500061035156,339.3999938964844,346.45001220703125,1566218
2024-03-05,340.4562072753906,342.79998779296875,348.3500061035156,340.54998779296875,348.1000061035156,516598
2024-03-06,340.7541809082031,343.1000061035156,344.5,332.0,343.70001220703125,658279
2024-03-07,342.0949401855469,344.45001220703125,350.20001220703125,342.25,344.79998779296875,896484
2024-03-11,333.75238037109375,336.04998779296875,352.0,332.45001220703125,349.0,787681
2024-03-12,328.7865295410156,331.04998779296875,339.70001220703125,329.0,337.0,369769
2024-03-13,304.0071716308594,306.1000061035156,333.45001220703125,303.1000061035156,331.1499938964844,771657
