date_,adj close_castrolind.ns,close_castrolind.ns,high_castrolind.ns,low_castrolind.ns,open_castrolind.ns,volume_castrolind.ns
2024-01-16,157.28993225097656,173.0500030517578,178.39999389648438,170.9499969482422,177.60000610351562,3749230
2024-01-17,152.65438842773438,167.9499969482422,172.4499969482422,167.25,171.0,4783019
2024-01-18,161.28921508789062,177.4499969482422,180.0,166.0500030517578,167.64999389648438,17216182
2024-01-19,162.51626586914062,178.8000030517578,182.25,177.5500030517578,179.0,5416799
2024-01-23,156.19921875,171.85000610351562,179.8000030517578,169.8000030517578,179.0500030517578,3935730
2024-01-24,160.42572021484375,176.5,177.0,169.8000030517578,172.0,1945438
2024-01-25,159.15322875976562,175.10000610351562,178.4499969482422,174.5,178.4499969482422,1775150
2024-01-29,172.01455688476562,189.25,191.0,173.25,175.3000030517578,16622108
2024-01-30,174.15052795410156,191.60000610351562,197.8000030517578,189.3000030517578,191.75,14430295
2024-01-31,178.7860565185547,196.6999969482422,197.89999389648438,190.60000610351562,193.0,7640591
2024-02-01,172.28724670410156,189.5500030517578,199.39999389648438,187.0,197.64999389648438,5036128
2024-02-02,180.33123779296875,198.39999389648438,208.10000610351562,195.5,196.75,28691987
2024-02-05,180.05857849121094,198.10000610351562,207.4499969482422,195.3000030517578,204.5,9370696
2024-02-06,184.05784606933594,202.5,206.0,195.9499969482422,199.6999969482422,8433036
2024-02-07,180.2858123779297,198.35000610351562,203.64999389648438,197.5500030517578,203.0,3466562
2024-02-08,179.14964294433594,197.10000610351562,201.4499969482422,196.0,199.35000610351562,3180026
2024-02-09,183.23980712890625,201.60000610351562,206.0,191.60000610351562,198.35000610351562,11761656
2024-02-12,176.05929565429688,193.6999969482422,205.3000030517578,192.14999389648438,203.0,5478947
2024-02-13,173.60516357421875,191.0,195.25,186.5500030517578,194.8000030517578,4723642
2024-02-14,179.14964294433594,197.10000610351562,198.0,187.14999389648438,189.0,2809365
2024-02-15,180.6493682861328,198.75,203.8000030517578,197.5500030517578,198.5,4679723
2024-02-16,188.78427124023438,207.6999969482422,213.5,199.64999389648438,200.0,22037786
