date_,adj close_kaynes.ns,close_kaynes.ns,high_kaynes.ns,low_kaynes.ns,open_kaynes.ns,volume_kaynes.ns
2024-01-16,2761.0,2761.0,2807.39990234375,2712.10009765625,2765.0,64380
2024-01-17,2737.550048828125,2737.550048828125,2771.949951171875,2698.60009765625,2724.050048828125,85173
2024-01-18,2671.699951171875,2671.699951171875,2767.449951171875,2640.0,2750.0,100538
2024-01-19,2733.449951171875,2733.449951171875,2745.0,2678.85009765625,2694.0,45504
2024-01-23,2708.800048828125,2708.800048828125,2829.10009765625,2685.0,2685.0,117994
2024-01-24,2851.14990234375,2851.14990234375,2890.0,2686.550048828125,2728.0,226264
2024-01-25,2878.449951171875,2878.449951171875,2899.949951171875,2853.75,2892.949951171875,86093
2024-01-29,2887.300048828125,2887.300048828125,2900.0,2856.949951171875,2890.0,64421
2024-01-30,2827.949951171875,2827.949951171875,2950.89990234375,2773.199951171875,2908.10009765625,122591
2024-01-31,2831.300048828125,2831.300048828125,2990.0,2781.0,2985.0,342056
2024-02-01,2813.949951171875,2813.949951171875,2900.0,2790.050048828125,2890.0,159593
2024-02-02,2907.25,2907.25,2930.0,2800.550048828125,2850.0,132452
2024-02-05,2883.449951171875,2883.449951171875,2978.0,2840.10009765625,2978.0,106183
2024-02-06,2835.449951171875,2835.449951171875,2908.800048828125,2820.10009765625,2901.0,108271
2024-02-07,2881.449951171875,2881.449951171875,2930.0,2840.35009765625,2879.199951171875,198726
2024-02-08,2924.64990234375,2924.64990234375,2939.89990234375,2900.050048828125,2930.0,206876
2024-02-09,2903.35009765625,2903.35009765625,2973.35009765625,2831.050048828125,2950.0,88537
2024-02-12,2865.39990234375,2865.39990234375,2950.0,2848.0,2950.0,85573
2024-02-13,2905.39990234375,2905.39990234375,2927.5,2555.5,2848.050048828125,215259
2024-02-14,2842.449951171875,2842.449951171875,2896.0,2830.0,2896.0,95189
2024-02-15,2773.050048828125,2773.050048828125,2889.800048828125,2764.75,2853.10009765625,167349
2024-02-16,2795.5,2795.5,2906.5,2775.0,2782.0,156494
2024-02-19,2860.699951171875,2860.699951171875,2924.800048828125,2827.050048828125,2881.35009765625,109109
2024-02-20,2778.199951171875,2778.199951171875,2904.800048828125,2750.0,2878.0,104384
2024-02-21,2811.050048828125,2811.050048828125,2845.0,2717.75,2807.0,315446
2024-02-22,2865.35009765625,2865.35009765625,2890.0,2791.60009765625,2860.0,132917
