date_,adj close_fsl.ns,close_fsl.ns,high_fsl.ns,low_fsl.ns,open_fsl.ns,volume_fsl.ns
2024-01-16,196.1535186767578,201.85000610351562,209.5,199.75,209.0,4156094
2024-01-17,194.30714416503906,199.9499969482422,205.6999969482422,197.0500030517578,200.0,3842796
2024-01-18,192.16921997070312,197.75,201.0,188.85000610351562,200.8000030517578,3882847
2024-01-19,198.9716796875,204.75,205.6999969482422,198.64999389648438,198.8000030517578,4003241
2024-01-23,185.17242431640625,190.5500030517578,204.1999969482422,189.39999389648438,202.60000610351562,2677773
2024-01-24,189.83697509765625,195.35000610351562,197.60000610351562,191.4499969482422,192.0,1675776
2024-01-25,189.30247497558594,194.8000030517578,198.60000610351562,194.0,196.8000030517578,1188550
2024-01-29,189.7397918701172,195.25,196.85000610351562,191.5500030517578,194.8000030517578,1869281
2024-01-30,195.8134002685547,201.5,208.39999389648438,196.1999969482422,196.1999969482422,9294910
2024-01-31,198.82591247558594,204.60000610351562,206.35000610351562,198.25,202.14999389648438,3243597
2024-02-01,196.29928588867188,202.0,205.64999389648438,200.0,205.64999389648438,1058832
2024-02-02,193.8698272705078,199.5,205.0,198.10000610351562,203.10000610351562,1631602
2024-02-05,195.91058349609375,201.60000610351562,205.0,199.89999389648438,200.3000030517578,1930715
2024-02-06,204.02491760253906,209.9499969482422,211.0,201.1999969482422,202.85000610351562,6927634
2024-02-07,200.86663818359375,206.6999969482422,212.64999389648438,198.39999389648438,211.14999389648438,6549084
2024-02-08,210.53582763671875,216.64999389648438,221.5,208.60000610351562,211.14999389648438,11892908
2024-02-09,200.04063415527344,205.85000610351562,220.1999969482422,205.0500030517578,219.25,6050185
2024-02-12,193.62689208984375,199.25,209.0,196.0,206.0,3282187
2024-02-13,192.16921997070312,197.75,200.0,190.5,200.0,2993774
2024-02-14,193.4325408935547,199.0500030517578,200.25,193.10000610351562,195.0,2388114
2024-02-15,194.9873809814453,200.64999389648438,202.6999969482422,199.14999389648438,202.3000030517578,2674635
2024-02-16,197.26214599609375,199.4499969482422,202.0,196.14999389648438,199.60000610351562,2429371
