date_,adj close_ioc.ns,close_ioc.ns,high_ioc.ns,low_ioc.ns,open_ioc.ns,volume_ioc.ns
2024-01-16,130.9071044921875,143.60000610351562,144.35000610351562,137.5,138.25,54350562
2024-01-17,131.3629150390625,144.10000610351562,145.39999389648438,141.5500030517578,143.0,43031636
2024-01-18,131.7275390625,144.5,145.64999389648438,139.89999389648438,143.8000030517578,26958686
2024-01-19,135.51071166992188,148.64999389648438,149.3000030517578,143.8000030517578,145.10000610351562,23970656
2024-01-23,126.66810607910156,138.9499969482422,151.8000030517578,137.85000610351562,151.5,38167576
2024-01-24,130.7703399658203,143.4499969482422,145.25,138.0500030517578,138.9499969482422,40122151
2024-01-25,130.9982452392578,143.6999969482422,145.89999389648438,142.0,145.89999389648438,38252600
2024-01-29,133.7330780029297,146.6999969482422,148.39999389648438,143.5,143.6999969482422,28420760
2024-01-30,134.6446990966797,147.6999969482422,152.1999969482422,146.5,148.39999389648438,41378967
2024-01-31,133.9609832763672,146.9499969482422,150.10000610351562,146.10000610351562,147.8000030517578,27393172
2024-02-01,136.51348876953125,149.75,150.6999969482422,147.0500030517578,148.5,27883335
2024-02-02,148.50115966796875,162.89999389648438,166.8000030517578,151.0500030517578,151.89999389648438,94675914
2024-02-05,158.57443237304688,173.9499969482422,177.1999969482422,164.6999969482422,167.9499969482422,101043319
2024-02-06,168.19190979003906,184.5,186.0,171.35000610351562,176.5500030517578,97077698
2024-02-07,169.9695587158203,186.4499969482422,192.64999389648438,185.0500030517578,188.1999969482422,82890137
2024-02-08,175.3936309814453,192.39999389648438,196.8000030517578,186.75,187.89999389648438,83103687
2024-02-09,166.3686981201172,182.5,193.85000610351562,177.75,193.39999389648438,84137345
2024-02-12,159.89627075195312,175.39999389648438,184.35000610351562,173.14999389648438,182.5,54071070
2024-02-13,159.03024291992188,174.4499969482422,177.4499969482422,172.35000610351562,174.9499969482422,37121416
2024-02-14,167.32589721679688,183.5500030517578,184.35000610351562,170.89999389648438,173.0,52764452
2024-02-15,173.06903076171875,189.85000610351562,191.35000610351562,183.5,185.0,70678699
2024-02-16,170.470947265625,187.0,194.10000610351562,186.14999389648438,190.0,54056644
2024-02-19,171.83834838867188,188.5,190.89999389648438,186.39999389648438,188.60000610351562,30664067
2024-02-20,172.06625366210938,188.75,189.6999969482422,183.8000030517578,187.5,34936800
2024-02-21,166.18637084960938,182.3000030517578,190.6999969482422,181.10000610351562,189.60000610351562,22131487
2024-02-22,163.81619262695312,179.6999969482422,181.5,175.39999389648438,181.5,39618423
2024-02-23,160.30650329589844,175.85000610351562,180.6999969482422,175.0500030517578,179.6999969482422,31342100
2024-02-26,161.81065368652344,177.5,178.8000030517578,172.5500030517578,175.89999389648438,36264939
2024-02-27,157.93630981445312,173.25,178.35000610351562,172.10000610351562,177.5,27603342
2024-02-28,152.6033935546875,167.39999389648438,173.4499969482422,166.6999969482422,172.5,35971734
2024-02-29,150.91693115234375,165.5500030517578,168.4499969482422,164.35000610351562,167.39999389648438,52797150
2024-03-01,154.42662048339844,169.39999389648438,171.8000030517578,167.39999389648438,167.9499969482422,33401242
2024-03-04,159.759521484375,175.25,176.4499969482422,170.5,172.1999969482422,28643745
2024-03-05,160.30650329589844,175.85000610351562,177.3000030517578,174.5500030517578,176.4499969482422,21719198
2024-03-06,161.67391967773438,177.35000610351562,178.1999969482422,172.10000610351562,176.1999969482422,37730619
2024-03-07,159.1669921875,174.60000610351562,178.35000610351562,174.0,177.35000610351562,17880714
2024-03-11,158.84793090820312,174.25,177.5,172.10000610351562,173.9499969482422,22843402
2024-03-12,157.6172332763672,172.89999389648438,175.89999389648438,171.4499969482422,175.0,20208400
2024-03-13,148.91139221191406,163.35000610351562,173.89999389648438,161.75,173.0,26725350
2024-03-14,155.29263305664062,170.35000610351562,171.39999389648438,160.60000610351562,161.25,25912125
2024-03-15,146.7690887451172,161.0,168.6999969482422,153.60000610351562,166.0,108719847
2024-03-18,146.5867919921875,160.8000030517578,163.25,160.14999389648438,162.5500030517578,22670787
2024-03-19,141.52734375,155.25,158.89999389648438,154.25,158.89999389648438,50547948
2024-03-20,144.26217651367188,158.25,158.5500030517578,155.0,156.0,23956154
