date_,adj close_datapattns.ns,close_datapattns.ns,high_datapattns.ns,low_datapattns.ns,open_datapattns.ns,volume_datapattns.ns
2024-01-16,1914.140380859375,1923.800048828125,1983.8499755859375,1902.0,1959.0,110536
2024-01-17,1966.2274169921875,1976.1500244140625,1980.0,1881.699951171875,1905.0,207091
2024-01-18,1923.642333984375,1933.3499755859375,1982.1500244140625,1900.0,1971.75,105851
2024-01-19,1913.195068359375,1922.8499755859375,1963.800048828125,1912.300048828125,1958.6500244140625,57018
2024-01-23,1850.8099365234375,1860.1500244140625,1909.0,1832.9000244140625,1889.949951171875,95697
2024-01-24,1857.2274169921875,1866.5999755859375,1874.4000244140625,1811.0999755859375,1859.0,94735
2024-01-25,1848.8199462890625,1858.1500244140625,1920.0,1852.0999755859375,1876.5999755859375,99093
2024-01-29,1859.7647705078125,1869.1500244140625,1879.3499755859375,1851.050048828125,1868.949951171875,77080
2024-01-30,1943.93994140625,1953.75,1967.6500244140625,1875.0,1875.0,193352
2024-01-31,1895.9322509765625,1905.5,1961.949951171875,1880.0999755859375,1956.5999755859375,225263
2024-02-01,1932.696533203125,1942.449951171875,2050.0,1919.050048828125,2050.0,477814
2024-02-02,1905.334716796875,1914.949951171875,1969.199951171875,1905.0999755859375,1956.0,170748
2024-02-05,1880.112060546875,1889.5999755859375,1938.3499755859375,1882.0999755859375,1935.949951171875,133091
2024-02-06,1878.9180908203125,1888.4000244140625,1905.0,1867.9000244140625,1905.0,86253
2024-02-07,1880.012451171875,1889.5,1918.9000244140625,1886.5999755859375,1900.0,123639
2024-02-08,1891.75341796875,1901.300048828125,1924.449951171875,1892.550048828125,1905.0,72153
2024-02-09,1866.1822509765625,1875.5999755859375,1912.8499755859375,1852.800048828125,1912.0,103426
2024-02-12,1841.8551025390625,1851.1500244140625,1900.0,1836.0,1879.949951171875,83399
2024-02-13,1782.70361328125,1791.699951171875,1849.9000244140625,1777.25,1840.050048828125,125897
2024-02-14,1862.650146484375,1872.050048828125,1888.0,1751.0,1751.050048828125,122411
2024-02-15,1845.337646484375,1854.6500244140625,1892.75,1851.0,1877.4000244140625,43034
2024-02-16,2009.0115966796875,2019.1500244140625,2037.949951171875,1905.0,1905.0,1536264
2024-02-19,2048.31298828125,2058.64990234375,2161.0,2046.0,2061.0,1055425
2024-02-20,2026.7220458984375,2036.949951171875,2099.949951171875,2018.0,2053.949951171875,255189
2024-02-21,2050.10400390625,2060.449951171875,2110.0,2018.199951171875,2036.949951171875,274446
2024-02-22,2227.807373046875,2239.050048828125,2255.0,2045.449951171875,2101.949951171875,1648007
2024-02-23,2350.2890625,2362.14990234375,2419.0,2220.0,2265.0,2547512
