date_,adj close_rblbank.ns,close_rblbank.ns,high_rblbank.ns,low_rblbank.ns,open_rblbank.ns,volume_rblbank.ns
2024-01-16,290.72906494140625,293.70001220703125,294.8999938964844,285.1000061035156,292.1499938964844,5789129
2024-01-17,279.93927001953125,282.79998779296875,291.8500061035156,278.6000061035156,284.5,9848102
2024-01-18,267.12030029296875,269.8500061035156,286.95001220703125,263.3999938964844,282.70001220703125,14513127
2024-01-19,262.5668029785156,265.25,275.79998779296875,258.0,273.45001220703125,15562342
2024-01-23,250.78720092773438,253.35000610351562,272.0,249.0,272.0,11527198
2024-01-24,257.17193603515625,259.79998779296875,260.79998779296875,251.0500030517578,253.0500030517578,8513370
2024-01-25,252.56898498535156,255.14999389648438,263.3999938964844,251.6999969482422,261.25,7667912
2024-01-29,252.47000122070312,255.0500030517578,258.6000061035156,252.75,257.25,6355319
2024-01-30,252.9154510498047,255.5,263.79998779296875,254.8000030517578,257.3999938964844,6531060
2024-01-31,257.9143371582031,260.54998779296875,262.0,252.14999389648438,255.6999969482422,8174520
2024-02-01,263.8536682128906,266.54998779296875,268.1000061035156,252.75,261.0,15292500
2024-02-02,262.1213684082031,264.79998779296875,272.25,263.45001220703125,268.95001220703125,10075169
2024-02-05,262.71527099609375,265.3999938964844,279.1499938964844,261.5,264.8500061035156,15808851
2024-02-06,262.36883544921875,265.04998779296875,267.5,260.3999938964844,265.3999938964844,6299507
2024-02-07,258.7557373046875,261.3999938964844,269.8999938964844,260.0,266.1499938964844,8787771
2024-02-08,252.86595153808594,255.4499969482422,267.70001220703125,254.0,263.95001220703125,7937169
2024-02-09,257.2709045410156,259.8999938964844,262.54998779296875,252.14999389648438,257.3999938964844,7432713
2024-02-12,241.2843017578125,243.75,261.95001220703125,242.0,260.3500061035156,5655050
2024-02-13,248.2135009765625,250.75,255.5,241.60000610351562,244.5500030517578,7529631
2024-02-14,251.18313598632812,253.75,254.75,243.10000610351562,245.64999389648438,4394058
2024-02-15,256.42950439453125,259.04998779296875,262.45001220703125,254.0,256.0,4838481
2024-02-16,259.6961669921875,262.3500061035156,266.0,259.04998779296875,261.0,5705820
2024-02-19,258.55780029296875,261.20001220703125,265.3999938964844,259.45001220703125,262.3500061035156,5749184
2024-02-20,260.5375671386719,263.20001220703125,269.1000061035156,260.0,261.20001220703125,9821805
2024-02-21,255.83563232421875,258.45001220703125,266.25,254.39999389648438,262.75,8287392
2024-02-22,263.8536682128906,266.54998779296875,267.70001220703125,256.04998779296875,259.1000061035156,12887196
2024-02-23,265.8829345703125,268.6000061035156,275.8999938964844,266.04998779296875,275.8999938964844,13207150
2024-02-26,270.0899353027344,272.8500061035156,274.5,267.20001220703125,269.25,8398213
