date_,adj close_tmpv.ns,close_tmpv.ns,high_tmpv.ns,low_tmpv.ns,open_tmpv.ns,volume_tmpv.ns
2025-10-15,390.8500061035156,390.8500061035156,403.0,388.0,403.0,26953550
2025-10-16,396.79998779296875,396.79998779296875,400.45001220703125,389.54998779296875,395.45001220703125,21983750
2025-10-17,396.6000061035156,396.6000061035156,402.5,392.25,396.79998779296875,16564540
2025-10-20,399.75,399.75,403.3999938964844,396.6000061035156,400.04998779296875,10471670
2025-10-21,401.8500061035156,401.8500061035156,403.3999938964844,400.04998779296875,402.79998779296875,3449156
2025-10-23,405.8500061035156,405.8500061035156,408.8999938964844,403.6000061035156,407.5,14126000
2025-10-24,403.29998779296875,403.29998779296875,408.5,401.0,406.95001220703125,6311744
2025-10-27,410.04998779296875,410.04998779296875,411.3999938964844,403.6499938964844,404.0,10699370
2025-10-28,411.5,411.5,414.1499938964844,408.54998779296875,411.29998779296875,10332270
2025-10-29,411.3500061035156,411.3500061035156,415.0,407.04998779296875,412.5,8485023
2025-10-30,412.45001220703125,412.45001220703125,419.0,408.1000061035156,412.70001220703125,8783965
2025-10-31,410.0,410.0,417.5,409.04998779296875,414.04998779296875,8012169
2025-11-03,417.0,417.0,417.8500061035156,410.1000061035156,414.0,8952229
2025-11-04,406.5,406.5,417.5,405.1000061035156,417.3999938964844,8889004
2025-11-06,407.8500061035156,407.8500061035156,409.70001220703125,405.3999938964844,407.1499938964844,6862359
2025-11-07,405.70001220703125,405.70001220703125,407.20001220703125,401.45001220703125,406.70001220703125,6930046
2025-11-10,410.45001220703125,410.45001220703125,412.95001220703125,406.0,406.0,7913640
2025-11-11,407.6000061035156,407.6000061035156,413.70001220703125,402.6499938964844,412.54998779296875,8120946
2025-11-12,402.1499938964844,402.1499938964844,411.3999938964844,401.8999938964844,407.6000061035156,12940220
2025-11-13,397.95001220703125,397.95001220703125,404.0,397.3999938964844,404.0,13165720
2025-11-14,391.20001220703125,391.20001220703125,399.6000061035156,387.29998779296875,397.95001220703125,21834850
2025-11-17,372.70001220703125,372.70001220703125,380.0,363.0,380.0,32393340
2025-11-18,371.29998779296875,371.29998779296875,374.0,369.1499938964844,373.1000061035156,17484750
2025-11-19,360.8500061035156,360.8500061035156,371.25,360.3500061035156,371.20001220703125,17854510
2025-11-20,359.79998779296875,359.79998779296875,364.3999938964844,359.25,362.0,15999030
2025-11-21,362.25,362.25,364.25,358.0,359.0,10829320
2025-11-24,358.29998779296875,358.29998779296875,362.8500061035156,356.79998779296875,362.5,12671920
2025-11-25,352.45001220703125,352.45001220703125,358.1000061035156,352.0,358.0,12577560
2025-11-26,359.25,359.25,362.8500061035156,354.29998779296875,354.45001220703125,13130210
2025-11-27,357.79998779296875,357.79998779296875,362.79998779296875,356.45001220703125,362.0,8871759
2025-11-28,356.79998779296875,356.79998779296875,359.75,355.1000061035156,358.0,10905210
2025-12-01,363.79998779296875,363.79998779296875,365.0,358.70001220703125,359.0,12714130
2025-12-02,361.75,361.75,364.0,359.6000061035156,364.0,8576018
2025-12-03,356.8500061035156,356.8500061035156,361.70001220703125,354.1000061035156,361.70001220703125,9504331
2025-12-04,356.45001220703125,356.45001220703125,359.5,354.29998779296875,357.0,9173145
2025-12-05,353.6000061035156,353.6000061035156,356.54998779296875,353.0,355.0,5667381
2025-12-08,348.29998779296875,348.29998779296875,356.20001220703125,345.79998779296875,353.95001220703125,7186158
2025-12-09,344.70001220703125,344.70001220703125,348.6499938964844,341.70001220703125,348.5,9143402
2025-12-10,343.3999938964844,343.3999938964844,347.5,341.95001220703125,347.0,8705054
2025-12-11,346.6499938964844,346.6499938964844,348.20001220703125,341.3999938964844,343.3999938964844,6756893
