date_,adj close_pageind.ns,close_pageind.ns,high_pageind.ns,low_pageind.ns,open_pageind.ns,volume_pageind.ns
2024-04-03,33753.8046875,34795.3984375,35100.0,34704.69921875,34963.8984375,15250
2024-04-04,33455.3671875,34487.75,34990.0,34437.8984375,34735.0,9338
2024-04-05,33145.37890625,34168.19921875,34480.0,34075.0,34480.0,11913
2024-04-08,33976.1484375,35024.6015625,35099.8984375,33814.8515625,34371.94921875,61344
2024-04-09,35244.11328125,36331.69921875,36420.8984375,34901.0,35190.0,57004
2024-04-10,36261.6171875,37380.6015625,37550.1015625,36301.19921875,36330.0,51568
2024-04-12,34731.77734375,35803.55078125,37299.8515625,35658.6484375,37100.0,64465
2024-04-15,34240.68359375,35297.30078125,35859.3984375,34803.6015625,35800.1015625,49123
2024-04-16,34607.5625,35675.5,35966.0,35000.1015625,35000.1015625,28186
2024-04-18,34299.17578125,35357.6015625,35800.0,35012.0,35800.0,49752
2024-04-19,34331.9609375,35391.3984375,35499.0,34822.0,35347.6015625,16410
2024-04-22,34431.78515625,35494.30078125,35850.0,35353.0,35405.5,25470
2024-04-23,34932.3359375,36010.30078125,36109.19921875,35540.1484375,35720.0,16953
2024-04-24,35200.03125,36286.25,36437.0,35500.0,36109.0,17333
2024-04-25,34496.24609375,35560.75,36438.6484375,35429.8984375,36350.0,40245
2024-04-26,34129.84375,35183.05078125,35837.94921875,35150.0,35650.0,19959
2024-04-29,34056.22265625,35107.1484375,35373.25,35051.0,35345.05078125,27864
2024-04-30,33742.79296875,34784.05078125,35590.44921875,34660.0,35200.0,66090
2024-05-02,33895.1875,34941.1484375,35048.8515625,34700.0,34830.0,12805
2024-05-03,33751.37890625,34792.8984375,35150.0,34524.05078125,35020.0,17696
2024-05-06,33402.63671875,34433.3984375,35142.80078125,34377.05078125,34985.0,12011
2024-05-07,33341.23828125,34370.1015625,34814.94921875,33870.0,34490.0,23727
2024-05-08,33454.1015625,34486.44921875,34690.80078125,34266.1484375,34300.0,31994
2024-05-09,33328.38671875,34356.8515625,34839.8984375,34156.5,34400.1015625,24083
2024-05-10,33491.0625,34524.55078125,34699.0,34197.5,34356.8515625,18620
2024-05-13,34095.2734375,35147.3984375,35226.8984375,34061.0,34524.55078125,25177
2024-05-14,34176.9453125,35231.6015625,35385.0,34850.0,35199.0,7488
