date_,adj close_crisil.ns,close_crisil.ns,high_crisil.ns,low_crisil.ns,open_crisil.ns,volume_crisil.ns
2024-01-16,3968.5263671875,4067.949951171875,4098.14990234375,4058.050048828125,4090.64990234375,9283
2024-01-17,4001.988037109375,4102.25,4109.0,4009.550048828125,4067.949951171875,19595
2024-01-18,4001.744873046875,4102.0,4129.0,4071.5,4102.25,6457
2024-01-19,3974.477294921875,4074.050048828125,4113.5,4045.0,4090.10009765625,9915
2024-01-23,3841.80126953125,3938.050048828125,4049.949951171875,3900.0,4039.699951171875,34085
2024-01-24,3781.70703125,3876.449951171875,3957.0,3816.199951171875,3957.0,59229
2024-01-25,3723.9541015625,3817.25,3876.5,3660.699951171875,3876.449951171875,73002
2024-01-29,3794.876953125,3889.949951171875,3906.5,3824.25,3889.89990234375,27387
2024-01-30,3917.455810546875,4015.60009765625,4080.800048828125,3900.0,3900.0,69205
2024-01-31,3995.256591796875,4095.35009765625,4100.0,4000.050048828125,4011.0,31827
2024-02-01,4046.229736328125,4147.60009765625,4174.9501953125,4031.0,4090.050048828125,26341
2024-02-02,4073.594482421875,4175.64990234375,4185.0,4060.35009765625,4165.0,31068
2024-02-05,4080.0322265625,4182.25,4190.0,4085.75,4170.0,36459
2024-02-06,4168.51611328125,4272.9501953125,4279.0,4182.39990234375,4200.0,30360
2024-02-07,4264.80419921875,4371.64990234375,4380.0,4272.9501953125,4273.0,35714
2024-02-08,4386.01708984375,4495.89990234375,4650.0,4356.14990234375,4370.0498046875,148235
2024-02-09,4432.40576171875,4543.4501953125,4575.0,4350.10009765625,4491.5498046875,26138
2024-02-12,4420.3076171875,4531.0498046875,4572.5,4451.2001953125,4543.4501953125,23727
2024-02-13,4344.84912109375,4453.7001953125,4594.5498046875,4431.35009765625,4503.89990234375,26928
2024-02-14,4393.7236328125,4503.7998046875,4549.9501953125,4385.10009765625,4412.4501953125,25274
2024-02-15,4478.890625,4591.10009765625,4608.9501953125,4510.0,4538.4501953125,22846
2024-02-16,4496.548828125,4609.2001953125,4833.4501953125,4575.0498046875,4650.0,225854
2024-02-19,4903.64892578125,5026.5,5199.85009765625,4725.14990234375,4875.0,688069
2024-02-20,4927.111328125,5050.5498046875,5250.0,5000.2998046875,5100.0,316130
2024-02-21,4940.03662109375,5063.7998046875,5136.0,4950.10009765625,5035.0,79599
2024-02-22,4862.77392578125,4984.60009765625,5089.89990234375,4953.7001953125,5063.7998046875,31634
2024-02-23,4785.36181640625,4905.25,4984.60009765625,4895.0,4984.60009765625,34500
2024-02-26,4778.43603515625,4898.14990234375,4962.7998046875,4867.14990234375,4905.25,22243
2024-02-27,4773.1201171875,4892.7001953125,4951.75,4875.10009765625,4931.0,23137
2024-02-28,4751.11962890625,4870.14990234375,4925.0,4830.89990234375,4924.75,12138
2024-02-29,4894.52734375,5017.14990234375,5170.0,4786.0,4872.7998046875,49038
2024-03-01,4781.80126953125,4901.60009765625,5090.14990234375,4883.0,5059.35009765625,36319
2024-03-04,4891.5517578125,5014.10009765625,5070.0,4911.0,4939.9501953125,42811
2024-03-05,4741.12109375,4859.89990234375,5019.9501953125,4831.5,5001.25,51128
2024-03-06,4776.87451171875,4896.5498046875,4915.0498046875,4764.0,4859.85009765625,37738
2024-03-07,4807.41015625,4927.85009765625,4991.0,4867.25,4896.60009765625,35963
2024-03-11,4804.384765625,4924.75,5034.0,4911.75,4945.0,38944
2024-03-12,4862.48095703125,4984.2998046875,5010.89990234375,4854.64990234375,4950.0,44066
2024-03-13,4764.4365234375,4883.7998046875,4980.0498046875,4825.0,4980.0498046875,41039
2024-03-14,4863.79736328125,4985.64990234375,4999.0,4828.0498046875,4883.7998046875,30218
2024-03-15,4855.16259765625,4976.7998046875,5048.9501953125,4934.25,4980.7001953125,26133
2024-03-18,5095.88232421875,5223.5498046875,5250.0,4996.9501953125,5020.0,74915
2024-03-19,4861.0654296875,4982.85009765625,5250.0,4962.25,5223.5498046875,73963
2024-03-20,4872.43115234375,4994.5,5090.0,4900.0,4950.0,43473
2024-03-21,4855.06640625,4976.7001953125,5055.0,4957.0,5009.39990234375,10811
2024-03-22,4883.6494140625,5006.0,5049.9501953125,4985.10009765625,5001.5498046875,19970
2024-03-26,4994.52197265625,5119.64990234375,5268.5,4992.64990234375,5040.0,71972
2024-03-27,4857.5048828125,4979.2001953125,5154.9501953125,4960.10009765625,5150.0,36070
2024-03-28,4972.09423828125,5068.0,5078.0,4955.14990234375,4980.0,18143
2024-04-01,4862.60693359375,4956.39990234375,5093.25,4881.0,5075.9501953125,134044
2024-04-02,4803.83984375,4896.5,5066.0498046875,4881.10009765625,4980.0,92281
2024-04-03,4716.47607421875,4807.4501953125,4949.5,4790.0,4920.0,76994
2024-04-04,4753.265625,4844.9501953125,4870.0,4822.14990234375,4850.0,19893
2024-04-05,4802.31982421875,4894.9501953125,4905.4501953125,4820.0,4844.9501953125,23348
2024-04-08,4802.4169921875,4895.0498046875,4938.0,4890.0,4906.5,14399
2024-04-09,4801.3388671875,4893.9501953125,4938.9501953125,4879.0,4920.0,16485
2024-04-10,4733.8896484375,4825.2001953125,4926.10009765625,4810.0,4899.0,33831
2024-04-12,4751.35205078125,4843.0,4950.0,4799.2001953125,4831.9501953125,56710
2024-04-15,4744.0927734375,4835.60009765625,4875.0,4703.5498046875,4839.85009765625,22881
2024-04-16,4592.2216796875,4680.7998046875,4877.7998046875,4653.25,4855.0,125060
2024-04-18,4446.189453125,4531.9501953125,4675.0,4512.0,4602.0,112296
2024-04-19,4262.43359375,4344.64990234375,4495.89990234375,4337.0,4464.0,79058
2024-04-22,4228.390625,4309.9501953125,4440.25,4285.0,4388.0,67233
2024-04-23,4114.73193359375,4194.10009765625,4344.0,4159.0,4344.0,77290
2024-04-24,4066.51220703125,4144.9501953125,4209.2001953125,4135.0,4185.10009765625,55614
