date_,adj close_rainbow.ns,close_rainbow.ns,high_rainbow.ns,low_rainbow.ns,open_rainbow.ns,volume_rainbow.ns
2024-01-16,1273.015625,1278.9000244140625,1298.0,1267.6500244140625,1285.0,107201
2024-01-17,1229.9644775390625,1235.6500244140625,1281.0,1225.5999755859375,1277.0,109860
2024-01-18,1279.2864990234375,1285.199951171875,1292.949951171875,1241.550048828125,1241.550048828125,154731
2024-01-19,1257.238525390625,1263.050048828125,1305.449951171875,1255.199951171875,1290.0999755859375,109305
2024-01-23,1229.7156982421875,1235.4000244140625,1262.5,1208.199951171875,1261.0,122857
2024-01-24,1217.67138671875,1223.300048828125,1251.949951171875,1213.0,1235.4000244140625,90848
2024-01-25,1211.400390625,1217.0,1228.0,1201.5999755859375,1201.5999755859375,112374
2024-01-29,1233.7967529296875,1239.5,1246.0,1207.0999755859375,1217.0,44575
2024-01-30,1216.6759033203125,1222.300048828125,1240.0,1206.800048828125,1239.5,149415
2024-01-31,1211.99755859375,1217.5999755859375,1234.0999755859375,1209.949951171875,1221.9000244140625,129301
2024-02-01,1186.1170654296875,1191.5999755859375,1225.4000244140625,1176.0,1225.0,104873
2024-02-02,1176.5614013671875,1182.0,1193.449951171875,1172.550048828125,1191.5999755859375,113664
2024-02-05,1176.4119873046875,1181.8499755859375,1208.699951171875,1170.5,1182.0,106889
2024-02-06,1220.9560546875,1226.5999755859375,1230.0,1188.25,1190.0,180148
2024-02-07,1243.153564453125,1248.9000244140625,1263.5999755859375,1216.4000244140625,1253.25,175820
2024-02-08,1239.0723876953125,1244.800048828125,1273.3499755859375,1223.050048828125,1249.949951171875,143005
2024-02-09,1236.0364990234375,1241.75,1255.0,1222.0,1244.8499755859375,157864
2024-02-12,1248.32958984375,1254.0999755859375,1264.300048828125,1204.949951171875,1245.0,85133
2024-02-13,1269.9298095703125,1275.800048828125,1284.0999755859375,1244.199951171875,1264.9000244140625,122428
2024-02-14,1311.537353515625,1317.5999755859375,1333.25,1256.550048828125,1276.5,133114
2024-02-15,1263.80810546875,1269.6500244140625,1342.449951171875,1263.050048828125,1328.199951171875,152507
2024-02-16,1244.7958984375,1250.550048828125,1284.5,1228.449951171875,1275.550048828125,117484
2024-02-19,1254.8494873046875,1260.6500244140625,1271.0,1230.1500244140625,1250.5999755859375,80382
2024-02-20,1261.269775390625,1267.0999755859375,1303.3499755859375,1253.0,1270.0999755859375,203447
2024-02-21,1269.2330322265625,1275.0999755859375,1292.949951171875,1261.449951171875,1273.300048828125,85571
2024-02-22,1273.2144775390625,1279.0999755859375,1290.0,1255.0,1279.050048828125,78633
2024-02-23,1274.508544921875,1280.4000244140625,1292.449951171875,1272.0,1285.0999755859375,42540
2024-02-26,1287.39892578125,1293.3499755859375,1304.0,1273.300048828125,1286.0999755859375,60106
2024-02-27,1280.43115234375,1286.3499755859375,1299.0,1272.5,1293.0,52081
2024-02-28,1422.6239013671875,1429.199951171875,1487.6500244140625,1285.0999755859375,1294.0,3226540
2024-02-29,1350.955078125,1357.199951171875,1430.0,1323.0,1429.199951171875,1725272
2024-03-01,1319.2020263671875,1325.300048828125,1403.550048828125,1272.0999755859375,1357.199951171875,527031
2024-03-04,1193.532958984375,1199.050048828125,1297.449951171875,1188.550048828125,1285.0,623023
2024-03-05,1151.8258056640625,1157.1500244140625,1223.8499755859375,1141.0,1199.0,711972
2024-03-06,1116.78759765625,1121.949951171875,1169.9000244140625,1114.050048828125,1161.9000244140625,313487
2024-03-07,1123.85498046875,1129.050048828125,1165.949951171875,1123.6500244140625,1140.0,280893
2024-03-11,1128.384033203125,1133.5999755859375,1153.949951171875,1127.699951171875,1134.949951171875,171123
2024-03-12,1095.0382080078125,1100.0999755859375,1143.0,1097.300048828125,1143.0,234993
2024-03-13,1099.3184814453125,1104.4000244140625,1140.0,1091.0,1091.0,508399
2024-03-14,1103.3497314453125,1108.449951171875,1161.75,1099.6500244140625,1107.550048828125,156902
