date_,adj close_nhpc.ns,close_nhpc.ns,high_nhpc.ns,low_nhpc.ns,open_nhpc.ns,volume_nhpc.ns
2024-01-16,69.13616180419922,72.3499984741211,74.0999984741211,71.1500015258789,72.9000015258789,46560482
2024-01-17,69.75729370117188,73.0,74.4000015258789,70.1500015258789,71.44999694824219,54032963
2024-01-18,67.94168853759766,71.0999984741211,72.1500015258789,68.55000305175781,69.0,157329595
2024-01-19,70.28286743164062,73.55000305175781,75.3499984741211,70.1500015258789,70.3499984741211,223892254
2024-01-23,72.57624816894531,75.94999694824219,84.1500015258789,75.19999694824219,83.30000305175781,181342574
2024-01-24,76.82858276367188,80.4000015258789,81.69999694824219,75.44999694824219,76.5,159093882
2024-01-25,79.59976959228516,83.30000305175781,84.4000015258789,80.44999694824219,81.5,143423574
2024-01-29,83.0876235961914,86.94999694824219,89.5999984741211,84.80000305175781,85.5,229399393
2024-01-30,83.70874786376953,87.5999984741211,92.0,87.19999694824219,89.55000305175781,241812307
2024-01-31,86.90994262695312,90.94999694824219,91.75,87.8499984741211,88.44999694824219,139472846
2024-02-01,87.33995819091797,91.4000015258789,93.94999694824219,90.19999694824219,91.94999694824219,171023321
2024-02-02,96.17906188964844,100.6500015258789,103.0,92.25,92.8499984741211,502923653
2024-02-05,99.04580688476562,103.6500015258789,115.8499984741211,98.55000305175781,105.75,624762919
2024-02-06,96.75241088867188,101.25,109.0999984741211,100.0999984741211,107.05000305175781,249855866
2024-02-07,98.13799285888672,102.69999694824219,105.25,100.80000305175781,102.94999694824219,166753801
2024-02-08,96.99130249023438,101.5,104.75,100.0,103.75,117672992
2024-02-09,91.97451782226562,96.25,102.19999694824219,92.5,102.19999694824219,220190578
2024-02-12,77.40191650390625,81.0,95.9000015258789,77.6500015258789,95.5,389284421
2024-02-13,81.98870849609375,85.80000305175781,87.8499984741211,77.5,80.94999694824219,400673877
2024-02-14,84.61656188964844,88.55000305175781,89.80000305175781,83.05000305175781,84.05000305175781,252396060
2024-02-15,88.48664855957031,92.5999984741211,96.55000305175781,89.3499984741211,90.9000015258789,284629734
2024-02-16,88.72554016113281,92.8499984741211,95.9000015258789,92.0999984741211,93.30000305175781,136095716
2024-02-19,92.50008392333984,96.80000305175781,98.9000015258789,94.05000305175781,94.4000015258789,222980210
