date_,adj close_bsoft.ns,close_bsoft.ns,high_bsoft.ns,low_bsoft.ns,open_bsoft.ns,volume_bsoft.ns
2024-01-16,760.8035888671875,780.6500244140625,787.0,760.4500122070312,786.0,1549767
2024-01-17,778.151123046875,798.4500122070312,806.0,765.0,765.0,2816486
2024-01-18,758.0747680664062,777.8499755859375,799.5,765.0499877929688,797.0,2189268
2024-01-19,778.833251953125,799.1500244140625,808.0,785.0,789.0,2195289
2024-01-23,780.3926391601562,800.75,817.9000244140625,793.4500122070312,809.75,1862109
2024-01-24,801.7846069335938,822.7000122070312,827.7000122070312,793.8499755859375,801.5999755859375,2691584
2024-01-25,797.44775390625,818.25,841.5499877929688,808.4000244140625,835.9000244140625,3452703
2024-01-29,811.432861328125,832.5999755859375,835.7000122070312,821.0999755859375,825.0499877929688,2154245
2024-01-30,823.7612915039062,845.25,858.75,836.2000122070312,837.9000244140625,2399686
2024-01-31,826.8800048828125,848.4500122070312,854.5999755859375,840.0999755859375,844.0,1361383
2024-02-01,807.7782592773438,828.8499755859375,849.8499755859375,818.2999877929688,848.4500122070312,1831246
2024-02-02,824.73583984375,846.25,850.75,838.2000122070312,838.25,1239815
2024-02-05,812.9434814453125,834.1500244140625,851.0,831.0999755859375,846.2999877929688,1162903
2024-02-06,831.7041015625,853.4000244140625,861.8499755859375,836.2999877929688,840.2000122070312,2122369
2024-02-07,812.0177001953125,833.2000122070312,859.4000244140625,826.25,857.0,1508432
2024-02-08,816.59814453125,837.9000244140625,846.3499755859375,833.25,838.0999755859375,736555
2024-02-09,812.2125244140625,833.4000244140625,849.2999877929688,817.0999755859375,845.0,1606503
2024-02-12,803.4901123046875,824.4500122070312,844.0,816.5,816.5,1401828
2024-02-13,821.7146606445312,843.1500244140625,845.5999755859375,801.7000122070312,823.0,1789205
2024-02-14,812.5536499023438,833.75,839.0,814.0999755859375,834.0,1091416
2024-02-15,822.7866821289062,844.25,856.0,832.9500122070312,840.0,1128765
