date_,adj close_coforge.ns,close_coforge.ns,high_coforge.ns,low_coforge.ns,open_coforge.ns,volume_coforge.ns
2024-01-16,1290.807373046875,1319.4000244140625,1332.0,1302.3900146484375,1332.0,1316845
2024-01-17,1296.66748046875,1325.3900146484375,1332.4000244140625,1296.4000244140625,1299.02001953125,1496950
2024-01-18,1269.2056884765625,1297.3199462890625,1320.489990234375,1252.6099853515625,1319.0899658203125,2706900
2024-01-19,1255.264404296875,1283.0699462890625,1309.780029296875,1274.4000244140625,1305.97998046875,2004735
2024-01-23,1213.44091796875,1240.3199462890625,1283.47998046875,1233.43994140625,1279.5999755859375,3445010
2024-01-24,1246.2344970703125,1273.8399658203125,1284.5799560546875,1232.199951171875,1244.5999755859375,1727660
2024-01-25,1214.1162109375,1241.010009765625,1288.0,1237.010009765625,1288.0,1960480
2024-01-29,1223.840576171875,1250.949951171875,1264.800048828125,1240.050048828125,1244.43994140625,2118880
2024-01-30,1221.8935546875,1248.9599609375,1284.6400146484375,1245.9000244140625,1260.0,2734175
2024-01-31,1222.9306640625,1250.02001953125,1266.0,1247.6099853515625,1250.7900390625,1686460
2024-02-01,1207.2091064453125,1233.949951171875,1256.4100341796875,1220.530029296875,1250.02001953125,1452080
2024-02-02,1257.22119140625,1285.0699462890625,1293.800048828125,1245.530029296875,1249.0,2593560
2024-02-05,1249.361572265625,1273.260009765625,1295.989990234375,1270.0,1295.989990234375,2153925
2024-02-06,1287.531494140625,1312.1600341796875,1314.199951171875,1274.5999755859375,1284.199951171875,2174960
2024-02-07,1291.986328125,1316.699951171875,1329.0,1302.4000244140625,1329.0,1188930
2024-02-08,1296.863037109375,1321.6700439453125,1333.199951171875,1313.760009765625,1325.989990234375,819815
2024-02-09,1275.746826171875,1300.1500244140625,1328.4000244140625,1294.199951171875,1328.3900146484375,914395
2024-02-12,1308.2156982421875,1333.239990234375,1346.739990234375,1300.300048828125,1309.97998046875,4405265
2024-02-13,1307.3719482421875,1332.3800048828125,1350.760009765625,1316.4000244140625,1338.5799560546875,1783135
2024-02-14,1270.1343994140625,1294.4300537109375,1322.8199462890625,1279.0,1310.0,1679355
2024-02-15,1304.01611328125,1328.9599609375,1332.800048828125,1302.219970703125,1318.0,855410
2024-02-16,1308.0587158203125,1333.0799560546875,1338.0,1305.1800537109375,1335.989990234375,1598340
2024-02-19,1325.622802734375,1350.97998046875,1369.489990234375,1314.4000244140625,1340.0,1852195
2024-02-20,1305.713623046875,1330.68994140625,1361.0,1316.6700439453125,1350.9300537109375,1426065
2024-02-21,1284.626953125,1309.199951171875,1340.97998046875,1300.0,1340.0,1516810
2024-02-22,1298.6978759765625,1323.5400390625,1335.4100341796875,1306.4599609375,1317.0,992895
2024-02-23,1296.40185546875,1321.199951171875,1344.5899658203125,1318.030029296875,1335.0,980260
