date_,adj close_sundarmfin.ns,close_sundarmfin.ns,high_sundarmfin.ns,low_sundarmfin.ns,open_sundarmfin.ns,volume_sundarmfin.ns
2024-01-16,3574.359130859375,3626.550048828125,3680.0,3600.699951171875,3680.0,27522
2024-01-17,3537.546630859375,3589.199951171875,3680.0,3568.10009765625,3643.89990234375,40334
2024-01-18,3581.011962890625,3633.300048828125,3673.85009765625,3570.199951171875,3607.14990234375,29880
2024-01-19,3536.264892578125,3587.89990234375,3683.0,3571.300048828125,3651.5,36628
2024-01-23,3546.56494140625,3598.35009765625,3665.5,3558.14990234375,3566.0,43502
2024-01-24,3545.086669921875,3596.85009765625,3675.0,3580.050048828125,3616.35009765625,28641
2024-01-25,3496.6435546875,3547.699951171875,3664.5,3522.85009765625,3645.0,25293
2024-01-29,3489.84326171875,3540.800048828125,3603.699951171875,3525.0,3556.0,29709
2024-01-30,3484.7177734375,3535.60009765625,3607.25,3511.5,3552.0,55138
2024-01-31,3516.306640625,3567.64990234375,3619.300048828125,3524.89990234375,3537.0,35819
2024-02-01,3472.791748046875,3523.5,3596.39990234375,3462.0,3567.75,138130
2024-02-02,3558.04736328125,3610.0,3655.0,3523.550048828125,3523.550048828125,165162
2024-02-05,3644.830078125,3698.050048828125,3783.0,3610.75,3610.75,109246
2024-02-06,3691.449462890625,3745.35009765625,3837.050048828125,3711.60009765625,3722.89990234375,85271
2024-02-07,3754.823974609375,3809.64990234375,3929.89990234375,3744.0,3745.35009765625,96250
2024-02-08,3697.65869140625,3751.64990234375,3941.0,3732.35009765625,3845.0,102179
2024-02-09,3664.04931640625,3717.550048828125,3897.0,3705.0,3751.64990234375,103427
2024-02-12,3639.4091796875,3692.550048828125,3840.0,3676.0,3788.0,66597
2024-02-13,3670.307861328125,3723.89990234375,3810.050048828125,3642.35009765625,3703.64990234375,126471
2024-02-14,3646.554931640625,3699.800048828125,3753.949951171875,3675.199951171875,3702.0,105784
2024-02-15,3700.960693359375,3755.0,3814.800048828125,3707.300048828125,3707.300048828125,107340
2024-02-16,3830.706787109375,3872.14990234375,3930.85009765625,3755.0,3799.5,525093
2024-02-19,4020.355224609375,4063.85009765625,4110.7001953125,3914.050048828125,3950.0,630917
2024-02-20,4075.557861328125,4119.64990234375,4203.9501953125,4025.0,4099.35009765625,488158
2024-02-21,4115.2783203125,4159.7998046875,4241.89990234375,4145.89990234375,4175.2001953125,355655
2024-02-22,4128.23779296875,4172.89990234375,4200.0,4134.64990234375,4185.89990234375,298492
2024-02-23,4141.79150390625,4186.60009765625,4245.9501953125,4168.4501953125,4173.7998046875,276754
2024-02-26,4153.36572265625,4198.2998046875,4244.9501953125,4179.39990234375,4223.14990234375,282303
2024-02-27,4153.8603515625,4198.7998046875,4231.0,4188.10009765625,4231.0,226737
2024-02-28,4130.81005859375,4175.5,4214.35009765625,4150.0,4201.5498046875,258804
2024-02-29,4124.92333984375,4169.5498046875,4268.7998046875,4154.0,4175.5,310657
2024-03-01,4133.6298828125,4178.35009765625,4209.9501953125,4151.5498046875,4209.9501953125,287375
2024-03-04,4141.89013671875,4186.7001953125,4259.9501953125,4105.0,4115.0498046875,266225
2024-03-05,4149.8046875,4194.7001953125,4230.0,4183.2998046875,4190.2001953125,250722
2024-03-06,4154.6025390625,4199.5498046875,4211.35009765625,4180.0,4202.39990234375,319018
2024-03-07,4108.501953125,4152.9501953125,4297.9501953125,4079.75,4209.0,378324
2024-03-11,3936.264892578125,3978.85009765625,4220.2998046875,3922.35009765625,4205.0,634057
2024-03-12,3975.638671875,4018.64990234375,4093.699951171875,3965.0,3986.199951171875,323234
2024-03-13,3857.12109375,3898.85009765625,4107.4501953125,3866.85009765625,4018.699951171875,254241
2024-03-14,3905.497802734375,3947.75,3978.0,3831.75,3920.89990234375,357588
2024-03-15,3755.322509765625,3795.949951171875,3952.25,3751.0,3952.25,4059282
2024-03-18,3808.9423828125,3850.14990234375,3874.800048828125,3622.25,3743.050048828125,307707
2024-03-19,3843.815185546875,3885.39990234375,3965.0,3821.800048828125,3879.64990234375,333994
2024-03-20,3931.763427734375,3974.300048828125,4000.5,3890.050048828125,3900.0,223483
2024-03-21,3984.394287109375,4027.5,4070.0,3967.699951171875,4000.0,167361
2024-03-22,3985.53173828125,4028.64990234375,4085.0,3982.35009765625,4053.949951171875,113090
2024-03-26,4100.43896484375,4144.7998046875,4150.0,4001.10009765625,4025.0,203625
2024-03-27,4114.53564453125,4159.0498046875,4199.7001953125,4123.39990234375,4150.0,162066
2024-03-28,4094.404296875,4138.7001953125,4200.0,4070.10009765625,4159.10009765625,102104
2024-04-01,4092.326416015625,4136.60009765625,4201.7001953125,4051.050048828125,4051.050048828125,111878
2024-04-02,4160.83544921875,4205.85009765625,4300.5,4107.60009765625,4155.0,234848
2024-04-03,4154.15771484375,4199.10009765625,4289.9501953125,4155.2998046875,4235.7001953125,125455
2024-04-04,4203.9189453125,4249.39990234375,4271.85009765625,4203.0,4203.0,177182
2024-04-05,4250.16845703125,4296.14990234375,4394.89990234375,4249.9501953125,4260.0,341245
2024-04-08,4535.630859375,4584.7001953125,4675.0,4266.0,4293.0498046875,439016
2024-04-09,4429.2314453125,4477.14990234375,4699.0,4455.0,4631.89990234375,184512
2024-04-10,4391.63818359375,4439.14990234375,4539.4501953125,4426.89990234375,4450.0,128264
2024-04-12,4497.24609375,4545.89990234375,4635.60009765625,4417.5498046875,4430.2998046875,248814
2024-04-15,4555.515625,4604.7998046875,4636.5,4410.5498046875,4472.75,166573
2024-04-16,4583.314453125,4632.89990234375,4691.5498046875,4539.89990234375,4575.85009765625,100172
2024-04-18,4529.59619140625,4578.60009765625,4696.89990234375,4510.0,4632.89990234375,259971
2024-04-19,4550.9150390625,4600.14990234375,4695.2998046875,4510.0,4522.2001953125,106378
