date,close_price,atr,atr_multiplier,stoploss
2026-01-18,931.1,14.72,2.0,901.66
2026-01-18,931.1,14.72,2.0,901.66
2026-01-18,931.1,14.72,2.0,901.66
2026-01-18,931.1,14.72,1.5,909.02
2026-01-18,931.1,14.72,1.5,909.02
2026-01-18,931.1,14.72,1.5,909.02
2026-01-18,931.1,14.72,1.5,909.02
