symbol,yahoo_symbol,market_cap_cr,date
ELECON,ELECON.NS,8794.23,2026-01-18
ABFRL,ABFRL.NS,8671.61,2026-01-18
ZEEL,ZEEL.NS,8596.65,2026-01-18
BALRAMCHIN,BALRAMCHIN.NS,8503.12,2026-01-18
BLUEJET,BLUEJET.NS,8391.39,2026-01-18
ALKYLAMINE,ALKYLAMINE.NS,8158.5,2026-01-18
MAPMYINDIA,MAPMYINDIA.NS,8070.2,2026-01-18
TARIL,TARIL.NS,7813.32,2026-01-18
ALOKINDS,ALOKINDS.NS,7720.95,2026-01-18
CAMPUS,CAMPUS.NS,7661.17,2026-01-18
RCF,RCF.NS,7555.92,2026-01-18
TRIVENI,TRIVENI.NS,7307.27,2026-01-18
SAPPHIRE,SAPPHIRE.NS,7117.02,2026-01-18
MAHSEAMLES,MAHSEAMLES.NS,6949.87,2026-01-18
AKUMS,AKUMS.NS,6803.76,2026-01-18
SAREGAMA,SAREGAMA.NS,6701.68,2026-01-18
CERA,CERA.NS,6700.26,2026-01-18
TEJASNET,TEJASNET.NS,6452.88,2026-01-18
HAPPSTMNDS,HAPPSTMNDS.NS,6412.62,2026-01-18
PRAJIND,PRAJIND.NS,5729.46,2026-01-18
DBREALTY,DBREALTY.NS,5613.66,2026-01-18
