symbol,yahoo_symbol,market_cap_cr,date
MOTILALOFS,MOTILALOFS.NS,51168.0,2026-01-18
IRCTC,IRCTC.NS,50212.0,2026-01-18
TATACOMM,TATACOMM.NS,50006.1,2026-01-18
PIIND,PIIND.NS,49575.1,2026-01-18
M&MFIN,M&MFIN.NS,49483.2,2026-01-18
360ONE,360ONE.NS,48539.23,2026-01-18
KALYANKJIL,KALYANKJIL.NS,48301.85,2026-01-18
BALKRISIND,BALKRISIND.NS,47312.45,2026-01-18
VOLTAS,VOLTAS.NS,46701.07,2026-01-18
JKCEMENT,JKCEMENT.NS,45472.37,2026-01-18
TIINDIA,TIINDIA.NS,45331.58,2026-01-18
HEXT,HEXT.NS,44975.17,2026-01-18
SUPREMEIND,SUPREMEIND.NS,44341.38,2026-01-18
HUDCO,HUDCO.NS,43094.9,2026-01-18
PETRONET,PETRONET.NS,42728.13,2026-01-18
KEI,KEI.NS,41794.87,2026-01-18
LTTS,LTTS.NS,41519.74,2026-01-18
DALBHARAT,DALBHARAT.NS,40559.26,2026-01-18
ESCORTS,ESCORTS.NS,40471.59,2026-01-18
UBL,UBL.NS,40197.52,2026-01-18
COCHINSHIP,COCHINSHIP.NS,40161.91,2026-01-18
PGHH,PGHH.NS,39751.42,2026-01-18
GLAXO,GLAXO.NS,39732.49,2026-01-18
3MINDIA,3MINDIA.NS,39709.37,2026-01-18
CONCOR,CONCOR.NS,39592.67,2026-01-18
ASTRAL,ASTRAL.NS,39338.44,2026-01-18
NH,NH.NS,38930.18,2026-01-18
ITCHOTELS,ITCHOTELS.NS,38928.53,2026-01-18
RADICO,RADICO.NS,38709.95,2026-01-18
IPCALAB,IPCALAB.NS,38445.84,2026-01-18
PAGEIND,PAGEIND.NS,38343.0,2026-01-18
IREDA,IREDA.NS,38287.01,2026-01-18
FLUOROCHEM,FLUOROCHEM.NS,37509.38,2026-01-18
POONAWALLA,POONAWALLA.NS,37477.84,2026-01-18
UCOBANK,UCOBANK.NS,37217.59,2026-01-18
BLUESTARCO,BLUESTARCO.NS,37131.57,2026-01-18
AIAENG,AIAENG.NS,36842.88,2026-01-18
NLCINDIA,NLCINDIA.NS,35700.67,2026-01-18
ENDURANCE,ENDURANCE.NS,35531.44,2026-01-18
GODFRYPHLP,GODFRYPHLP.NS,35014.79,2026-01-18
CENTRALBK,CENTRALBK.NS,34920.31,2026-01-18
TATAELXSI,TATAELXSI.NS,34919.89,2026-01-18
CRISIL,CRISIL.NS,34737.78,2026-01-18
JUBLFOOD,JUBLFOOD.NS,34702.7,2026-01-18
GODREJIND,GODREJIND.NS,34269.89,2026-01-18
TATAINVEST,TATAINVEST.NS,33606.12,2026-01-18
AJANTPHARM,AJANTPHARM.NS,33510.32,2026-01-18
THERMAX,THERMAX.NS,33459.97,2026-01-18
CHOLAHLDNG,CHOLAHLDNG.NS,33451.94,2026-01-18
PREMIERENE,PREMIERENE.NS,33274.33,2026-01-18
ACC,ACC.NS,32967.93,2026-01-18
KPITTECH,KPITTECH.NS,32299.04,2026-01-18
APOLLOTYRE,APOLLOTYRE.NS,32231.26,2026-01-18
NAVINFLUOR,NAVINFLUOR.NS,31547.12,2026-01-18
ASTERDM,ASTERDM.NS,30985.18,2026-01-18
MEDANTA,MEDANTA.NS,30737.49,2026-01-18
GODIGIT,GODIGIT.NS,30101.15,2026-01-18
MSUMI,MSUMI.NS,30074.59,2026-01-18
SJVN,SJVN.NS,30051.14,2026-01-18
DELHIVERY,DELHIVERY.NS,30040.21,2026-01-18
HONAUT,HONAUT.NS,30030.23,2026-01-18
CDSL,CDSL.NS,29976.87,2026-01-18
JBCHEPHARM,JBCHEPHARM.NS,29838.64,2026-01-18
APARINDS,APARINDS.NS,29811.82,2026-01-18
EMCURE,EMCURE.NS,29544.88,2026-01-18
LICHSGFIN,LICHSGFIN.NS,29354.11,2026-01-18
EXIDEIND,EXIDEIND.NS,29256.58,2026-01-18
ITI,ITI.NS,29087.78,2026-01-18
SONACOMS,SONACOMS.NS,28626.22,2026-01-18
KPRMILL,KPRMILL.NS,28623.51,2026-01-18
IKS,IKS.NS,28476.6,2026-01-18
GUJGASLTD,GUJGASLTD.NS,28273.45,2026-01-18
GLAND,GLAND.NS,28077.79,2026-01-18
NBCC,NBCC.NS,28004.4,2026-01-18
GRSE,GRSE.NS,27773.1,2026-01-18
AWL,AWL.NS,27538.89,2026-01-18
FORCEMOT,FORCEMOT.NS,27096.98,2026-01-18
PTCIL,PTCIL.NS,26938.61,2026-01-18
IIFL,IIFL.NS,26936.6,2026-01-18
NUVAMA,NUVAMA.NS,26817.19,2026-01-18
ZFCVINDIA,ZFCVINDIA.NS,26647.56,2026-01-18
MANAPPURAM,MANAPPURAM.NS,26578.05,2026-01-18
MRPL,MRPL.NS,26539.45,2026-01-18
TATATECH,TATATECH.NS,26403.07,2026-01-18
GILLETTE,GILLETTE.NS,26050.25,2026-01-18
STARHEALTH,STARHEALTH.NS,25971.92,2026-01-18
KARURVYSYA,KARURVYSYA.NS,25857.06,2026-01-18
ANANDRATHI,ANANDRATHI.NS,25688.65,2026-01-18
IGL,IGL.NS,25350.86,2026-01-18
RAMCOCEM,RAMCOCEM.NS,25328.18,2026-01-18
SYNGENE,SYNGENE.NS,25215.87,2026-01-18
IRB,IRB.NS,25067.93,2026-01-18
PNBHOUSING,PNBHOUSING.NS,25047.9,2026-01-18
ANGELONE,ANGELONE.NS,25005.24,2026-01-18
SAGILITY,SAGILITY.NS,25002.97,2026-01-18
AEGISLOG,AEGISLOG.NS,24823.12,2026-01-18
NIACL,NIACL.NS,24706.82,2026-01-18
KIMS,KIMS.NS,24578.53,2026-01-18
KAYNES,KAYNES.NS,24234.86,2026-01-18
AFFLE,AFFLE.NS,24232.92,2026-01-18
ASAHIINDIA,ASAHIINDIA.NS,24149.25,2026-01-18
AEGISVOPAK,AEGISVOPAK.NS,24112.11,2026-01-18
ABSLAMC,ABSLAMC.NS,24033.79,2026-01-18
HSCL,HSCL.NS,23880.39,2026-01-18
ATHERENERG,ATHERENERG.NS,23626.42,2026-01-18
LALPATHLAB,LALPATHLAB.NS,23378.85,2026-01-18
BANDHANBNK,BANDHANBNK.NS,23360.64,2026-01-18
WOCKPHARMA,WOCKPHARMA.NS,23197.38,2026-01-18
SHYAMMETL,SHYAMMETL.NS,22632.49,2026-01-18
FSL,FSL.NS,22560.59,2026-01-18
TIMKEN,TIMKEN.NS,22536.86,2026-01-18
INDIACEM,INDIACEM.NS,22245.22,2026-01-18
EMAMILTD,EMAMILTD.NS,22067.16,2026-01-18
HBLENGINE,HBLENGINE.NS,22066.1,2026-01-18
PPLPHARMA,PPLPHARMA.NS,21989.83,2026-01-18
PFIZER,PFIZER.NS,21780.04,2026-01-18
AMBER,AMBER.NS,21613.22,2026-01-18
SUNTV,SUNTV.NS,21597.81,2026-01-18
SUMICHEM,SUMICHEM.NS,21495.71,2026-01-18
ECLERX,ECLERX.NS,21451.0,2026-01-18
EIHOTEL,EIHOTEL.NS,21315.54,2026-01-18
DEEPAKNTR,DEEPAKNTR.NS,21091.82,2026-01-18
JYOTICNC,JYOTICNC.NS,21015.03,2026-01-18
CREDITACC,CREDITACC.NS,20791.52,2026-01-18
ASTRAZEN,ASTRAZEN.NS,20688.48,2026-01-18
CESC,CESC.NS,20655.85,2026-01-18
REDINGTON,REDINGTON.NS,20599.76,2026-01-18
AADHARHFC,AADHARHFC.NS,20522.9,2026-01-18
BRIGADE,BRIGADE.NS,20482.98,2026-01-18
CUB,CUB.NS,20259.28,2026-01-18
ONESOURCE,ONESOURCE.NS,20113.26,2026-01-18
RBLBANK,RBLBANK.NS,20032.9,2026-01-18
ANANTRAJ,ANANTRAJ.NS,19859.89,2026-01-18
ERIS,ERIS.NS,19790.95,2026-01-18
BAYERCROP,BAYERCROP.NS,19780.39,2026-01-18
INOXWIND,INOXWIND.NS,19632.78,2026-01-18
